Demographics Split,US Ranking,University Name,School Name,Program Name,Program Category,Certificate,City,State,Length in Days (put average number of days if different lengths are listed),Modality,Location,Total Cost (if cost per credit is not listed. Put the latest cost),Total Online Format Cost (if cost per credit is not listed and online vs in person cost is different),Target Demographics (keep consistencies as much as possible),Unique Value
SENIOR LEADERS,9,UC Berkeley,Hass,"Future of Technology: Trends, Strategies, and Innovation Opportunities",Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"TECHNOLOGY LEADERS, SENIOR BUSINESS LEADERS, CONSULTANTS, ENTREPRENEURS, , BUSINESS PROFESSIONALS",227
SENIOR LEADERS,7,University of Michigan--Ann Arbor,Ross,Practicing Positive Leadership,Leadership,,Ann Arbor,MI,20,Online,Online,,1900,"SENIOR LEVEL DIRECTORS, SENIOR LEADER",164
SENIOR LEADERS,10,UC Los Angeles,Anderson,Inclusive Leadership Program,"Leadership, Management",No,Los Angeles,CA,3,Online,Online,,,"SENIOR LEADERS, HR LEADERS, TEAM LEADERS",186
SENIOR LEADERS,9,UC Berkeley,Hass,Data Science for Leaders,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,3,In person,"Berkeley,CA",4900,,"SENIOR LEADERS, DATA SCIENCE LEADERS, , OTHER DECISION-MAKERS",216
SENIOR LEADERS,13,Arizona State University,W.P. Carey,Innovation and Growth using the Theory of Constraints,Entrepreneurship and Innovation,No,Tempe,AZ,4,In person,"McCord Hall, Tempe campus",6000,,"SENIOR LEADERS, CHAMPIONS FOR CHANGE, , DECISION MAKERS SEEKING A GUIDED, PRACTICAL PROCESS FOR BUSINESS INNOVATION.",304
SENIOR LEADERS,4,Columbia University,Columbia Business School,Designing Customer Experiences,Marketing / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID-CAREER , SENIOR MARKETING , BR, MANAGERS, EXECUTIVES WITH MARKETING EXPERIENCE, SENIOR LEADERS",134
SENIOR LEADERS,4,Columbia University,Columbia Business School,Designing Customer Experiences,Marketing / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID-CAREER , SENIOR MARKETING , BR, MANAGERS WITH 10 YEARS OF MANAGEMENT EXPERIENCE, EXECUTIVES WITH MARKETING EXPERIENCE, SENIOR LEADERS",138
SENIOR LEADERS,12,Cornell University,SC Johnson,CORPORATE SUSTAINABILITYCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"SENIOR LEADERS , EXECUTIVES, LEGAL PROFESSIONALS, PHILANTHROPISTS, ENTREPRENEURS, COMMUNICATIONS EXPERTS, COMMUNITY ACTIVISTS",281
SENIOR LEADERS,7,University of Michigan--Ann Arbor,Ross,Sustainable Leadership in the ESG Era,Leadership,,Ann Arbor,MI,4,In person,"Ann Arbor,MI",9500,,"EXECUTIVE , SENIOR LEADERS, INVESTORS, ESG,CSR MANAGERS, ADVISORS",166
SENIOR LEADERS,10,UC Los Angeles,Anderson,Women in Governance,Governance,Yes,Los Angeles,CA,30,Online,Online,,4500,SENIOR LEADERS,190
SENIOR LEADERS,2,Northwestern University,Kellogg School of Management,Supply Chain Management,"Operation, Technology",,Evanston,IL,4.5,In person / Online,"Evanston, IL",7650,5850,"SENIOR , MID-LEVEL MANAGERS",55
SENIOR LEADERS,3,University of Chicago (Booth),Booth School of Business,Mergers and Acquisitions,Finance / Accounting,Yes,Chicago,IL,5,In person,"Chicago, IL",12500,,"SENIOR , UPPER-MIDDLE LEVEL EXECUTIVES",64
SOFTWARE DEVELOPERS,12,Cornell University,SC Johnson,WEB DESIGN AND DEVELOPMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"ASPIRING WEB DEVELOPERS, WEB DESIGNERS, , UX DESIGNERS, BACKEND PROGRAMMERS WHO NEED FRONT-END SKILLS TO BECOME FULL-STACK DEVELOPERS, ENTREPRENEURS",252
SOFTWARE DEVELOPERS,9,UC Berkeley,Hass,Chief Technology Officer (CTO) Program,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",27000,,"CURRENT OR ASPIRING CTOS , SENIOR EXECUTIVES, TECHNICAL EXPERTS, INCLUDING VPS OF ENGINEERING , SOFTWARE ARCHITECTS",214
SOFTWARE DEVELOPERS,12,Cornell University,SC Johnson,PYTHON PROGRAMMING Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,90,Online,Online,,3750,"CURRENT , ASPIRING PROGRAMMERS, SOFTWARE DEVELOPERS , ENGINEERS, CURRENT , ASPIRING WEB DEVELOPERS, SCIENTISTS INTERESTED IN LEARNING PROGRAMMING",266
SOFTWARE DEVELOPERS,12,Cornell University,SC Johnson,NATURAL LANGUAGE PROCESSING WITH PYTHON Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,90,Online,Online,,3750,"ENGINEERS, SOFTWARE DEVELOPERS, COMPUTER SCIENTISTS NEW TO NLP, DATA SCIENTISTS, ANALYSTS",267
SOFTWARE DEVELOPERS,12,Cornell University,SC Johnson,DATA ETHICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,2999,"DATA MANAGERS , DEVELOPERS, ETHICS OFFICER, STATISTICIANS, ANALYST, LAWYERS, SOFTWARE DEVELOPERS , PROGRAMMERS",258
SOFTWARE DEVELOPERS,12,Cornell University,SC Johnson,USER EXPERIENCE DESIGN,Marketing,Yes,Ithaca,NY,100,Online,Online,,3750,"PRODUCT MANAGERS, WEB DESIGNERS, SOFTWARE DEVELOPERS,MARKETING, UI,UX,GRAPHIC DESIGNERS",251
TECHNICAL OR FUNCTIONAL PROFESSIONALS,4,Columbia University,Columbia Business School,B2B Marketing Strategy,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"PRODUCT MANAGERS, MARKETING LEADS, ACCOUNT MANAGERS, MANAGERS FROM A TECHNICAL OR MANUFACTURING BACKGROUND, EXPERIENCED , NEWLY PROMOTED PRODUCT , BUSINESS UNIT MANAGERS",139
TECHNICAL OR FUNCTIONAL PROFESSIONALS,4,Columbia University,Columbia Business School,The Business of AI,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"MID- TO SENIOR-LEVEL PROFESSIONALS, CONSULTANTS , TECHNICAL EXPERTS, SENIOR (C-SUITE) EXECUTIVES",156
TECHNICAL OR FUNCTIONAL PROFESSIONALS,7,University of Michigan--Ann Arbor,Ross,People Driven Thinking,Management,,Ann Arbor,MI,30,Online,Online,,2500,"FUTURE GENERAL MANAGERS, TECHNICAL EXPERTS, ENTREPRENEURS, PROFESSIONALS",173
TECHNICAL OR FUNCTIONAL PROFESSIONALS,9,UC Berkeley,Hass,Chief Technology Officer (CTO) Program,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",27000,,"CURRENT OR ASPIRING CTOS , SENIOR EXECUTIVES, TECHNICAL EXPERTS, INCLUDING VPS OF ENGINEERING , SOFTWARE ARCHITECTS",214
TECHNICAL OR FUNCTIONAL PROFESSIONALS,12,Cornell University,SC Johnson,Data Science certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,80,Online,Online,,3600,"CURRENT , ASPIRING DATA SCIENTISTS, ANALYSTS, ENGINEERS, RESEARCHERS, TECHNICAL MANAGERS",255
TECHNICAL OR FUNCTIONAL PROFESSIONALS,4,Columbia University,Columbia Business School,Driving Strategic Impact: Mastering Management Consulting Skills,Negotiation & Decision Making,Yes,New York,NY,3,In person,"Manhattanville Campus, NYC",7950,,"MID- TO UPPER-LEVEL EXECUTIVES, TECHNICAL OR FUNCTIONAL PROFESSIONALS",146
TECHNICAL OR FUNCTIONAL PROFESSIONALS,9,UC Berkeley,Hass,"Future of Technology: Trends, Strategies, and Innovation Opportunities",Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"TECHNOLOGY LEADERS, SENIOR BUSINESS LEADERS, CONSULTANTS, ENTREPRENEURS, , BUSINESS PROFESSIONALS",227
