"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,  1
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,  2
 60,3750,12,"Governance","Yes","Online","3", 0.47546882,-0.32878493, 0.34797060,-0.83282878,  9
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 16
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 17
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 18
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 19
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 20
 40,2600, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.05187190, 0.66144247,-1.80639883,-2.01118541, 22
 50,2600, 4,"Finance","Yes","Online","2",-3.13539313, 1.96065505,-1.59602285, 2.83898771, 64
 60,3900,12,"Governance","Yes","Online","3", 0.58520732,-0.32818613, 0.43256455,-0.80632119, 72
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 74
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 75
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 76
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 78
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 79
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460, 80
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 86
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 87
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 88
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 89
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 90
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 91
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 93
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 94
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153, 96
